n,d,s,bound,time(s)
15,0.2,1,1139.0,0.001722097396850586
20,0.5,10,5066.0,0.003036022186279297
20,0.5,4,4581.0,0.0036149024963378906
20,0.5,5,4405.0,0.002279996871948242
15,0.2,2,779.0,0.0019249916076660156
20,0.5,7,4878.0,0.0027170181274414062
20,0.5,6,4743.0,0.005089998245239258
15,0.2,3,1019.0,0.0020601749420166016
15,0.2,7,1018.0,0.0017430782318115234
20,0.8,9,7827.0,0.0021829605102539062
10,0.2,8,528.0,0.0014390945434570312
20,0.5,2,4331.0,0.0018000602722167969
20,0.5,3,4581.0,0.0019030570983886719
10,0.2,9,430.0,0.0016219615936279297
20,0.8,8,7921.0,0.0021979808807373047
15,0.2,6,1228.0,0.0013430118560791016
15,0.2,4,1009.0,0.0017659664154052734
20,0.5,1,5021.0,0.0019519329071044922
15,0.2,5,927.0,0.0013489723205566406
15,0.8,1,4499.0,0.0019941329956054688
10,0.5,5,875.0,0.0012111663818359375
10,0.5,4,1207.0,0.0016360282897949219
15,0.5,9,2270.0,0.0032181739807128906
15,0.8,2,3770.0,0.0018820762634277344
10,0.5,6,1381.0,0.0015060901641845703
10,0.5,7,1144.0,0.0013611316680908203
15,0.8,3,4120.0,0.0021309852600097656
15,0.5,8,2516.0,0.0017080307006835938
15,0.8,7,4141.0,0.002602100372314453
10,0.8,8,2101.0,0.003332853317260742
20,0.2,9,2041.0,0.00167083740234375
10,0.5,3,1212.0,0.0016040802001953125
20,0.2,10,1858.0,0.001566171646118164
10,0.5,2,918.0,0.0019078254699707031
20,0.2,8,2078.0,0.0021109580993652344
10,0.8,9,1599.0,0.0017638206481933594
15,0.8,6,4249.0,0.002135038375854492
20,0.8,10,8159.0,0.042051076889038086
15,0.8,4,4009.0,0.003598928451538086
10,0.5,1,1223.0,0.0028460025787353516
15,0.8,5,3960.0,0.005041837692260742
15,0.8,8,4096.0,0.0017311573028564453
15,0.5,3,2431.0,0.0026001930236816406
10,0.8,7,1590.0,0.0022230148315429688
20,0.2,6,2181.0,0.0016269683837890625
20,0.2,7,2125.0,0.0014829635620117188
10,0.8,6,2059.0,0.001294851303100586
15,0.5,2,2567.0,0.0018088817596435547
15,0.8,9,4025.0,0.0019330978393554688
20,0.2,5,2075.0,0.002023935317993164
10,0.8,4,1916.0,0.0015799999237060547
10,0.8,5,1606.0,0.0015931129455566406
20,0.2,4,1800.0,0.0015201568603515625
15,0.5,1,2705.0,0.0018079280853271484
15,0.5,5,2706.0,0.0018100738525390625
100,0.2,1,52280.0,0.01081991195678711
10,0.8,1,1748.0,0.0013439655303955078
10,0.5,10,1240.0,0.00189208984375
20,0.2,1,1677.0,0.0015571117401123047
15,0.5,4,2468.0,0.0017218589782714844
15,0.2,10,1015.0,0.0018270015716552734
15,0.5,6,2762.0,0.001703023910522461
10,0.5,9,1048.0,0.0015270709991455078
10,0.8,2,1599.0,0.001965045928955078
20,0.2,3,1723.0,0.00167083740234375
15,0.8,10,4656.0,0.0023779869079589844
20,0.2,2,1912.0,0.0018188953399658203
10,0.8,3,2052.0,0.0017108917236328125
10,0.5,8,1138.0,0.001538991928100586
15,0.5,7,2633.0,0.0014319419860839844
15,0.2,8,988.0,0.0019040107727050781
20,0.8,6,7766.0,0.13358592987060547
10,0.2,7,430.0,0.0018270015716552734
10,0.2,10,532.0,0.001725912094116211
10,0.2,6,484.0,0.0015578269958496094
20,0.8,7,7730.0,0.002765178680419922
15,0.5,10,2861.0,0.00164794921875
15,0.2,9,1076.0,0.01667499542236328
10,0.2,4,497.0,0.0015931129455566406
20,0.8,5,7214.0,0.003671884536743164
20,0.8,4,7393.0,0.002471923828125
10,0.2,5,590.0,0.0013911724090576172
10,0.8,10,1956.0,0.001641988754272461
10,0.2,1,285.0,0.0038459300994873047
20,0.8,1,8038.0,0.002107858657836914
20,0.5,8,4880.0,0.0023479461669921875
20,0.8,3,7788.0,0.0021719932556152344
10,0.2,2,257.0,0.0016520023345947266
50,0.8,1,48996.0,0.011216163635253906
10,0.2,3,396.0,0.0013740062713623047
20,0.8,2,7203.0,0.002053976058959961
20,0.5,9,4760.0,0.002012014389038086
